842680	500	04	
842681	509	82	05	05	02	7c	02	
842682	538	00	00	f8	05	7a	05	f2	01	
842683	512	00	00	00	00	
842685	544	0a	30	16	09	c0	04	
842686	504	00	1a	01	
842688	528	00	
842690	500	04	
842690	534	16	08	
842696	508	00	00	03	00	01	
842696	524	00	00	00	00	05	00	05	09	
842696	548	0f	c0	00	0b	c0	00	
842696	560	20	
842696	520	00	09	05	05	03	04	05	04	
842696	52c	00	
842697	504	00	1a	01	
842700	513	00	00	00	00	
842700	540	0b	b0	00	0e	c0	00	
842701	500	04	
842705	54c	0d	c0	00	0c	80	00	
842708	504	00	1a	01	
842710	512	00	00	00	00	
842712	500	04	
842713	534	1a	08	
842719	504	00	1a	01	
842725	500	04	
842726	513	00	00	00	00	
842728	50c	82	01	00	
842730	504	00	1a	01	
842733	509	82	05	06	02	7b	02	
842733	538	00	00	f8	05	7a	05	f2	01	
842735	534	18	08	
842735	512	00	00	00	00	
842735	500	04	
842736	544	0a	a0	16	09	c0	04	
842741	504	00	1a	01	
842743	508	00	00	03	00	01	
842744	548	0f	c0	00	0b	c0	00	
842744	524	00	00	00	00	05	00	05	09	
842747	520	00	09	05	05	03	04	05	04	
842747	500	04	
842751	540	0b	b0	00	0d	c0	00	
842752	513	00	00	00	00	
842752	504	00	1a	01	
842752	564	22	
842755	534	14	08	
842757	500	04	
842758	54c	0d	c0	00	0c	80	00	
842758	568	1f	
842761	512	00	00	00	00	
842763	504	00	1a	01	
842768	500	04	
842769	510	7a	05	00	
842774	55c	21	
842774	504	00	1a	01	
842777	534	15	08	
842777	514	00	04	00	
842778	513	00	00	00	00	
842779	50c	83	01	00	
842782	570	1f	
842782	56c	1f	
842782	500	04	
842782	509	83	05	07	02	7b	02	
842783	538	00	00	f8	05	7a	05	f2	01	
842785	504	00	1a	01	
842787	512	00	00	00	00	
842788	544	0a	80	16	09	c0	04	
842788	528	00	
842791	500	04	
842794	508	00	00	04	00	01	
842796	520	00	09	05	05	03	04	05	04	
842796	504	00	1a	01	
842797	548	0f	c0	00	0b	c0	00	
842797	524	00	00	00	00	05	00	05	09	
842797	52c	00	
842799	534	16	08	
842802	500	04	
842803	540	0b	b0	00	0d	c0	00	
842804	513	00	00	00	00	
842807	504	00	1a	01	
842810	54c	0d	c0	00	0c	80	00	
842813	500	04	
842813	512	00	00	00	00	
842818	504	00	1a	01	
842819	534	1a	08	
842824	500	04	
842829	504	00	1a	01	
842830	513	00	00	00	00	
842830	50c	7f	01	00	
842833	509	82	05	08	02	7b	02	
842833	554	00	00	00	00	
842834	538	00	00	f8	05	7a	05	f2	01	
842837	500	04	
842839	544	0a	c0	16	09	c0	04	
842839	512	00	00	00	00	
842840	504	00	1a	01	
842841	534	18	08	
842845	508	00	00	03	00	01	
842847	550	2d	2d	2c	00	
842849	500	04	
842850	520	00	09	05	05	03	04	05	04	
842850	548	0f	c0	00	0b	c0	00	
842850	524	00	00	00	00	05	00	05	09	
842851	504	00	1a	01	
842853	564	22	
842855	540	0b	b0	00	0d	c0	00	
842856	513	00	00	00	00	
842858	500	04	
842861	54c	0d	c0	00	0c	80	00	
842864	504	00	1a	01	
842864	534	19	08	
842865	512	00	00	00	00	
842869	500	04	
842870	510	79	05	00	
842873	504	00	1a	01	
842878	514	00	04	00	
842880	500	04	
842881	50c	7d	01	00	
842882	513	00	00	00	00	
842884	509	87	05	09	02	7b	02	
842885	504	00	1a	01	
842885	538	00	00	f8	05	7a	05	f2	01	
842886	534	17	08	
842890	544	0a	80	14	09	b0	04	
842890	528	00	
842891	512	00	00	00	00	
842892	500	04	
842894	560	20	
842895	504	00	1a	01	
842898	508	00	00	03	00	01	
842898	52c	00	
842900	520	00	09	05	05	03	04	05	04	
842900	548	0f	c0	00	0b	c0	00	
842900	524	00	00	00	00	05	00	05	09	
842903	500	04	
842906	540	0b	b0	00	0d	c0	00	
842906	504	00	1a	01	
842907	534	19	08	
842908	513	00	00	00	00	
842912	54c	0d	c0	00	0c	80	00	
842914	500	04	
842917	512	00	00	00	00	
842917	504	00	1a	01	
842925	500	04	
842928	534	18	08	
842928	504	00	1a	01	
842932	50c	84	01	00	
842934	513	00	00	00	00	
842935	509	82	05	0a	02	7b	02	
842938	500	04	
842939	538	00	00	f8	05	7a	05	f2	01	
842940	504	00	1a	01	
842940	544	0a	30	17	09	c0	04	
842943	512	00	00	00	00	
842947	508	00	00	03	00	01	
842948	500	04	
842950	534	26	08	
842950	504	00	1a	01	
842951	520	00	09	05	05	03	04	05	04	
842954	548	0f	c0	00	0b	c0	00	
842954	524	00	00	00	00	05	00	05	09	
842954	564	22	
842958	540	0b	b0	00	0d	c0	00	
842959	500	04	
842959	568	1f	
842960	513	00	00	00	00	
842961	504	00	1a	01	
842964	54c	0d	c0	00	0c	80	00	
842969	512	00	00	00	00	
842972	500	04	
842972	534	15	08	
842972	510	7a	05	00	
842972	504	00	1a	01	
842975	55c	21	
842979	514	00	04	00	
842980	570	1f	
842980	500	04	
842982	56c	1f	
842983	50c	7d	01	00	
