Time (sec),RPM,RPM Rate (RPM/sec),Air Temp (F),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),Battery Volt (V),Fuel Open Time (ms),Fuel Duty Cycle (%),Fuel Angle (deg),Accel Compensation - Fuel (%),Starting Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Coolant Temp Compensation - Fuel (%),U1: ÿÿÿÿÿÿÿÿ Compensation - Fuel (%),Ignition Angle (DBTDC),Coolant Temp Compensation - Ignition (deg),   Oil P,  Fuel P,  Comp P,Oil T (F),Res T (F),   EMPTY,  Comp S,Measured AFR #1,Target AFR,Lambda/AFR STF #1 (%),PWM Duty Cycle % #1,PWM Duty Cycle % #2,PWM Duty Cycle % #3,PWM Duty Cycle % #4,Accel Base Comp (%),
0.000,1725,10000,95.2,91.6,14.0,0,12.89,11.30,3.24,9.3,4.6,100.0,136.7,100.0,100.0,100.0,1.0,0.0,0.53,37.92,13.88,89.8,88.0,0.00,0.0,7.36,13.97,100.0,0.0,0.0,20.0,17.0,100.0,
0.011,2196,0,95.2,91.6,14.0,0,13.15,11.30,2.69,9.8,7.2,100.0,136.7,100.0,100.0,100.0,1.0,0.0,0.38,41.17,13.93,89.8,88.0,0.00,0.0,7.36,13.97,100.0,0.0,0.0,20.0,21.5,100.0,
0.020,0,0,95.2,91.6,14.0,0,13.40,11.50,2.69,9.8,7.2,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.47,41.45,13.93,89.8,88.0,0.00,0.0,7.36,13.97,100.0,0.0,0.0,0.0,0.0,100.0,
0.030,0,0,95.2,91.6,14.0,0,13.61,11.70,2.69,9.8,7.2,100.0,150.2,100.0,100.0,100.0,1.0,0.0,1.02,44.59,13.92,89.8,88.0,0.00,0.0,7.36,13.97,100.0,0.0,0.0,0.0,0.0,100.0,
0.041,2035,0,95.2,91.6,14.0,0,13.70,11.90,3.17,10.8,9.1,100.0,136.7,100.0,100.0,100.0,1.0,0.0,0.57,43.59,13.77,89.8,88.0,0.00,0.0,7.36,13.97,100.0,0.0,0.0,20.0,20.0,100.0,
0.050,2035,0,95.2,91.6,14.0,0,13.06,12.00,3.17,10.8,9.1,100.0,136.7,100.0,100.0,100.0,1.0,0.0,0.58,40.17,13.89,89.8,88.0,0.00,0.0,7.36,13.97,100.0,0.0,0.0,20.0,20.0,100.0,
0.060,2035,0,93.4,91.6,14.0,0,13.03,12.00,3.17,10.8,9.1,100.0,136.7,100.0,100.0,100.0,1.0,0.0,0.61,40.82,13.93,89.8,88.0,0.00,0.0,7.36,13.97,100.0,0.0,0.0,20.0,20.0,100.0,
0.070,2666,10000,93.4,91.6,14.0,0,13.22,12.10,2.49,11.1,12.0,100.0,136.7,100.0,100.0,100.0,1.0,0.0,0.64,39.42,13.91,89.8,88.0,0.00,0.0,7.36,13.97,100.0,0.0,0.0,20.0,26.5,100.0,
0.080,2666,10000,93.4,91.6,14.0,0,13.55,12.10,2.49,11.1,12.0,100.0,136.7,100.0,100.0,100.0,1.0,0.0,0.58,41.02,14.10,89.8,88.0,0.00,0.0,7.36,13.97,100.0,0.0,0.0,20.0,26.5,100.0,
0.090,2624,-1836,93.4,91.6,14.0,0,13.14,12.20,2.75,12.0,14.2,100.0,136.7,100.0,100.0,100.0,1.0,0.0,0.49,43.07,13.79,89.8,88.0,0.00,0.0,7.36,13.97,100.0,0.0,0.0,20.0,26.0,100.0,
0.100,2624,-1836,93.4,91.6,14.0,0,12.91,12.20,2.75,12.0,14.2,100.0,136.7,100.0,100.0,100.0,1.0,0.0,0.64,43.84,13.82,89.8,88.0,0.00,0.0,7.36,13.97,100.0,0.0,0.0,20.0,26.0,100.0,
0.110,2562,-2648,93.4,91.6,14.0,3,13.10,12.30,2.43,10.4,15.7,100.0,136.7,100.0,100.0,100.0,1.0,0.0,0.59,44.27,13.90,89.8,88.0,0.00,0.0,7.36,13.97,100.0,0.0,0.0,20.0,25.5,100.0,
