86329	500	04	
86330	504	00	1a	01	
86337	534	54	08	
86337	514	00	04	00	
86337	554	00	00	00	00	
86337	500	04	
86337	54c	0c	c0	00	0c	90	00	
86337	504	00	1a	01	
86337	50c	c1	05	01	
86340	513	00	00	00	00	
86343	500	04	
86345	504	00	1a	01	
86348	512	00	00	00	00	
86349	534	49	08	
86352	548	0f	d0	00	9b	c0	00	
86352	524	00	00	00	00	05	00	05	09	
86353	560	17	
86354	500	04	
86356	504	00	1a	01	
86360	540	07	90	00	0c	b0	00	
86360	544	0a	90	00	07	40	05	
86365	500	04	
86368	538	00	00	aa	02	aa	02	0f	02	
86370	509	ad	05	f5	01	65	03	
86370	508	00	00	00	00	03	
86370	513	00	00	00	00	
86370	504	00	1a	01	
86371	520	00	09	05	05	03	05	05	04	
86371	534	46	08	
86373	512	00	00	00	00	
86376	500	04	
86378	504	00	1a	01	
86384	54c	0b	d0	01	0c	90	00	
86386	50c	b3	05	01	
86387	500	04	
86388	52c	00	
86389	504	00	1a	01	
86392	513	00	00	00	00	
86393	534	53	08	
86398	500	04	
86399	512	00	00	00	00	
86400	504	00	1a	01	
86403	548	0f	d0	00	7c	c0	00	
86403	524	00	00	00	00	05	00	05	09	
86403	510	78	05	00	
86409	500	04	
86411	504	00	1a	01	
86412	540	07	90	00	0c	b0	00	
86412	544	0a	90	00	07	40	05	
86413	534	49	08	
86416	528	00	
86417	508	00	00	00	00	03	
86420	509	ab	05	f5	01	65	03	
86420	538	00	00	aa	02	aa	02	0f	02	
86420	564	17	
86420	513	00	00	00	00	
86420	500	04	
86422	504	00	1a	01	
86423	520	00	09	05	05	03	05	05	04	
86425	512	00	00	00	00	
86430	514	00	04	00	
86431	500	04	
86434	504	00	1a	01	
86435	534	4b	08	
86436	54c	0c	c0	00	0c	90	00	
86437	50c	b3	05	01	
86442	500	04	
86444	504	00	1a	01	
86444	513	00	00	00	00	
86451	512	00	00	00	00	
86451	550	17	17	17	00	
86453	500	04	
86456	548	0f	d0	00	a9	c0	00	
86456	524	00	00	00	00	05	00	05	09	
86456	504	00	1a	01	
86457	534	51	08	
86462	540	07	90	00	0c	b0	00	
86462	544	0a	90	00	08	40	05	
86464	500	04	
86466	504	00	1a	01	
86468	508	00	00	00	00	03	
86468	509	ae	05	f5	01	65	03	
86471	538	00	00	aa	02	aa	02	0f	02	
86471	570	17	
86471	513	00	00	00	00	
86473	520	00	09	05	05	03	05	05	04	
86475	500	04	
86477	512	00	00	00	00	
86477	504	00	1a	01	
86478	534	49	08	
86486	500	04	
86488	54c	0c	c0	00	0c	90	00	
86491	50c	ae	05	01	
86491	504	00	1a	01	
86491	52c	00	
86491	568	18	
86496	513	00	00	00	00	
86497	500	04	
86497	56c	18	
86499	504	00	1a	01	
86500	534	4b	08	
86503	512	00	00	00	00	
86506	510	77	05	00	
86506	548	0f	d0	00	82	c0	00	
86506	524	00	00	00	00	05	00	05	09	
86508	500	04	
86510	504	00	1a	01	
86514	540	07	90	00	0c	b0	00	
86514	544	0a	90	00	08	40	05	
86516	55c	18	
86518	528	00	
86518	564	17	
86521	508	00	00	00	00	03	
86523	509	ad	05	f4	01	65	03	
86523	538	00	00	aa	02	aa	02	10	02	
86523	500	04	
86523	504	00	1a	01	
86523	534	51	08	
86523	513	00	00	00	00	
86524	520	00	09	05	05	03	05	05	04	
86529	512	00	00	00	00	
86530	500	04	
86533	554	00	00	00	00	
86533	514	00	04	00	
86533	504	00	1a	01	
86539	50c	af	05	01	
86540	54c	0c	c0	00	0c	90	00	
86541	500	04	
86542	534	49	08	
86543	504	00	1a	01	
86548	513	00	00	00	00	
86552	500	04	
