1547	500	04	
1557	534	e6	08	
1557	548	ff	ff	ff	ff	ff	ff	
1557	524	00	00	00	00	00	00	00	00	
1557	52c	00	
1557	54c	ff	ff	ff	ff	ff	ff	
1557	500	04	
1557	554	00	00	00	02	
1557	500	04	
1618	500	04	
1619	500	04	
1619	500	04	
1619	500	04	
1619	500	04	
1619	500	04	
1619	500	04	
1619	500	04	
1619	548	0b	30	01	07	30	02	
1619	524	00	00	53	00	04	00	04	5b	
1622	52c	00	
1622	54c	2f	20	01	08	40	00	
1622	500	04	
1622	500	04	
1622	500	04	
1622	500	04	
1622	500	04	
1622	500	04	
1622	500	04	
1622	500	04	
1626	500	04	
1627	548	14	a0	02	0c	40	04	
1627	524	00	00	53	00	04	00	04	5b	
1627	52c	00	
1627	54c	07	42	02	54	a0	00	
1630	500	04	
1633	554	00	00	00	02	
1641	500	04	
1652	500	04	
1663	500	04	
1674	500	04	
1685	500	04	
1685	504	00	1a	01	
1696	500	04	
1696	504	00	1a	01	
1707	500	04	
1707	504	00	1a	01	
1718	500	04	
1718	504	00	1a	01	
1726	548	13	e0	02	0b	70	04	
1729	524	00	00	53	00	04	00	04	5b	
1729	52c	00	
1729	54c	6e	31	03	45	a0	00	
1729	500	04	
1729	504	00	1a	01	
1740	500	04	
1741	504	00	1a	01	
1751	500	04	
1751	504	00	1a	01	
1762	500	04	
1764	504	00	1a	01	
1773	500	04	
1773	504	00	1a	01	
1784	500	04	
1784	504	00	1a	01	
1795	500	04	
1795	504	00	1a	01	
1806	500	04	
1806	504	00	1a	01	
1817	500	04	
1819	504	00	1a	01	
1827	548	18	30	03	0b	10	05	
1827	524	00	00	53	00	04	00	04	5b	
1827	52c	00	
1827	54c	31	f1	02	40	b0	00	
1828	500	04	
1828	504	00	1a	01	
1835	554	00	00	00	02	
1839	500	04	
1839	504	00	1a	01	
1849	500	04	
1850	504	00	1a	01	
1860	500	04	
1861	504	00	1a	01	
1871	500	04	
1872	504	00	1a	01	
1875	570	28	
1882	500	04	
1883	504	00	1a	01	
1893	500	04	
1896	504	00	1a	01	
1904	500	04	
1905	504	00	1a	01	
1915	500	04	
1916	504	00	1a	01	
1926	500	04	
1927	504	00	1a	01	
1929	548	13	00	02	0b	80	04	
